Tag	Latency Normalized	Power
973	0.9521853388	118.851445
974	0.9573467709	117.828707
975	0.9614346913	117.208454
976	0.9622864311	116.677565
977	0.9625096863	115.96718
978	0.9767469119	115.076317
979	0.9753644876	114.29839
980	0.9830018904	113.518403
981	0.9884246821	112.920995
982	0.989035022	112.172985
983	0.9939911578	111.500067
984	0.9988542725	110.751589
985	0.9890404021	108.641405
986	0.993293366	107.889602
987	1.0179972152	106.483906
988	1.0253000477	105.90851
989	1.0277685505	105.305669
990	1.0307600709	104.84271
991	1.0409868625	104.159157
992	1.039671301	103.112246
993	1.0385764959	102.31347
994	1.0464625902	101.759508
995	1.0534014398	101.192046
996	1.0580567184	100.758697
997	1.060116794	100.172243
998	1.0809847176	99.420884
999	1.0811272968	98.655094
1000	1.0890939179	98.162203
1001	1.0912744694	97.535524
1002	1.1054483496	97.062903
1003	1.1114438753	96.599468
1004	1.1131757945	95.682795
1005	1.1143412562	94.709506
1006	1.124397007	93.966838
1007	1.131101444	93.614151
1008	1.1323687125	92.813533
1009	1.1402745838	92.435541
1010	1.1518113241	92.079882
